event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BFO11147,1-Dec-23,2023,1,Demonstrations,Riots,Violent demonstration,Rioters (Burkina Faso),Police Forces of Burkina Faso (2022-),5,,,0,50,,854,Western Africa,Burkina Faso,Sahel,Soum,Djibo,Djibo,14.0875,-1.6418,1,Undisclosed Source,Local partner-Other,"On 1 December 2023, police officers fired several shots inside their camp of Djibo (Djibo, Soum) to express their dissatisfaction with their hierarchy. This anger was due in particular to the delays in relieving them. Supposed to be deployed for six months, they are now eight months without relief.",0,crowd size=no report,1701732576
NIG33915,1-Dec-23,2023,2,Political violence,Riots,Mob violence,Rioters (Nigeria),Ngbo Communal Group (Nigeria),5,Civilians (Nigeria),Ajile Communal Group (Nigeria); Labor Group (Nigeria),7,57,Civilian targeting,566,Western Africa,Nigeria,Ebonyi,Ohaukwu,,Ngbo,6.4654,7.9675,1,Daily Post (Nigeria),National,"Around 1 December 2023 (as reported), the Ngbo youths attacked and beat the Ajile traders in the Okwo-ngbo market in the Ngbo community (Ohaukwu, Ebonyi) for unclear reasons. There was panic in the market, and the traders deserted, fearing the attack could reignite a hundred-year-old communal clash that had just been resolved between the two communities.",0,crowd size=no report,1701732576
NIG33916,1-Dec-23,2023,1,Political violence,Riots,Mob violence,Rioters (Nigeria),NANS: National Association of Nigerian Students,5,,,0,50,,566,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0833,7.5333,1,Nigeria Punch,National,"On 1 December 2023, a NANS faction invaded the National Hospital, Abuja (Abuja Municipal, Federal Capital Territory) to attack the injured members of another faction who were undergoing treatment. The panic forced other patients to flee their wards. The police intervened and dispersed them.",0,crowd size=no report,1701732576
MLI31444,1-Dec-23,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),,1,12,,466,Western Africa,Mali,Koulikoro,Nara,Niamana,Nantiala,14.3259,-7.7279,2,Al Zallaqa; Facebook,New media,"On 1 December 2023, JNIM militants carried out a complex ambush involving a suicide motorcycle bomb a FAMa convoy near Nantiala (Nara, Koulikoro). 12 militants and seven soldiers were killed, and seven soldiers were wounded. The soldiers seized a heavy machine gun, two motorcycles, and ammunition. JNIM claimed responsibility and said killed five soldiers and burned three vehicles. 19 fatalities coded.",19,,1701732577
MLI31445,1-Dec-23,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,Wagner Group,,8,Civilians (Mali),,7,78,Civilian targeting,466,Western Africa,Mali,Mopti,Douentza,Gandamia,Kikara,15.2107,-2.7489,1,Undisclosed Source; Whatsapp,Local partner-Other,"On 1 December 2023, Wagner mercenaries abducted civilians during an air-landing operation by helicopter at the market in the village of Kikara (Douentza, Mopti). Several people were arrested. Those arrested were subsequently released.",0,,1701732577
MLI31446,1-Dec-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),Refugees/IDPs (Mali),7,27,,466,Western Africa,Mali,Segou,Tominian,Ouan,Wa,13.6933,-4.4005,1,Le Pays Dogon,National,"Property destruction: On 1 December 2023, JNIM militants set fire to tons of grain belonging to IDPs in Wa (Tominian, Segou).",0,,1701732577
MAA1757,1-Dec-23,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Mauritania),Students (Mauritania),6,,,0,60,,478,Western Africa,Mauritania,Nouakchott,Tevragh-Zeina,,Nouakchott,18.0801,-15.9777,1,Al Jamaa,Regional,"On 1 December 2023, at the call of political parties and student groups, activists held a protest sit-in in Nouakchott (Nouakchott, Tevragh-Zeina) in support to Palestine and to denounce renewed Israeli military operations in Gaza. They also called for the expulsion of the US ambassador for the US support to Israel.",0,crowd size=no report,1701732577
MOR8887,1-Dec-23,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Morocco),Al Adl Wa Al Ihssane; Muslim Group (Morocco); Moroccan Commission for the Support of the Islamic Nation Causes; Moroccan Front for Supporting Palestine and Against Normalisation,6,,,0,60,,504,Northern Africa,Morocco,Casablanca-Settat,Berrechid,Berrechid,Berrechid,33.2655,-7.5875,1,Al Jamaa,National,"On 1 December 2023, for the eight consecutive week, at the call of the Moroccan Commission for the Support of the Islamic Nation Causes, worshippers demonstrated following the Friday prayer at two mosques in Berrechid (Berrechid, Casablanca-Settat) in support to Palestine and to denounce Israeli military operations in Gaza and Morocco's normalization with Israel.",0,crowd size=no report,1701732577
MOR8888,1-Dec-23,2023,2,Demonstrations,Protests,Peaceful protest,Protesters (Morocco),Students (Morocco),6,,,0,60,,504,Northern Africa,Morocco,Casablanca-Settat,Casablanca,Sidi Belyout,Casablanca,33.5928,-7.6192,1,Hespress,National,"Around 1 December 2023 (as reported), dentistry students held a protest sit-in in Casablanca (Casablanca, Casablanca-Settat) denouncing their study conditions.",0,crowd size=no report,1701732577
MOR8889,1-Dec-23,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Morocco),Al Adl Wa Al Ihssane; Muslim Group (Morocco); Moroccan Commission for the Support of the Islamic Nation Causes; Moroccan Front for Supporting Palestine and Against Normalisation,6,,,0,60,,504,Northern Africa,Morocco,Casablanca-Settat,Casablanca,Sidi Belyout,Casablanca,33.5928,-7.6192,1,Al Jamaa,National,"On 1 December 2023, for the eight consecutive week, at the call of the Moroccan Commission for the Support of the Islamic Nation Causes, worshippers demonstrated following the Friday prayer at seven mosques across Casablanca (Casablanca, Casablanca-Settat) in support to Palestine and to denounce Israeli military operations in Gaza and Morocco's normalization with Israel.",0,crowd size=no report,1701732577
