event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE42062,1-Dec-23,2023,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Palestine),Rioters (Palestine),3,Military Forces of Israel (2022-),,8,38,,275,Middle East,Palestine,West Bank,Tulkarm,,Shuwaykah,32.3364,35.0355,1,PLO Negotiations Affairs Department,Other,"On 1 December 2023, Israeli forces clashed with unknown Palestinian militants and rioters during a raid in Shuwaykah suburb (Tulkarm, West Bank). The militants exchanged fire with the forces, while rioters threw rocks. Israeli forces fired live and rubber bullets, stun grenades, and tear gas canisters. There were no casualties.",0,,1701732587
BRA77385,1-Dec-23,2023,1,Political violence,Battles,Armed clash,Unidentified Gang and/or Police Militia,,3,Unidentified Gang (Brazil),,3,33,,76,South America,Brazil,Tocantins,Araguaina,,Araguaina,-7.1911,-48.2072,1,G1,National,"On 1 December 2023, in Araguaina (Tocantins), two armed individuals shot and killed a man in the Maracana sector. The deceased had a police record for drug trafficking. 1 fatality.",1,,1701732583
UKR138645,1-Dec-23,2023,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,8,Military Forces of Ukraine (2019-),,1,18,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Chasovoiarska,Hryhorivka,48.6419,37.8589,2,Ministry of Defence of Ukraine,Other,"On 1 December 2023, Russian military forces attacked the Ukrainian military, but were repelled near Hryhorivka, Donetsk. Casualties unknown.",0,,1701813041
BRA77365,30-Nov-23,2023,1,Political violence,Battles,Armed clash,Military Forces of Brazil (2023-) Military Police,,1,Unidentified Gang (Brazil),,3,13,,76,South America,Brazil,Amapa,Macapa,,Macapa,0.0389,-51.0664,1,Diario do Amapa,Subnational,"On 30 November 2023, in Macapa (Amapa), a drug trafficking suspect exchanged fire with military police during a police patrol in the Perpetuo Socorro neighborhood. The drug trafficker was killed. 1 fatality.",1,,1701732582
BRA77403,1-Dec-23,2023,2,Political violence,Battles,Armed clash,Unidentified Gang (Brazil),,3,Unidentified Gang (Brazil),,3,33,,76,South America,Brazil,Sao Paulo,Sao Jose dos Campos,,Sao Jose dos Campos,-23.1794,-45.8869,1,R7,National,"Around 1 December 2023 (as reported), in Sao Jose dos Campos (Sao Paulo), members from rival drug trafficking groups exchanged fire. One suspect was shot and hospitalized. He ran away and was arrested in the state of Minas Gerais. A woman was also hit by a stray bullet during the clash and died. 1 fatality.",1,,1701732583
SUD24015,30-Nov-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Sudan (2019-),,1,Rapid Support Forces,,2,12,,729,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum - Al Jarif West,15.5616,32.5841,1,Sudan Akhbar; Sudan Tribune,National,"On 30 November 2023, SAF shelled artillery targeting RSF in Khartoum - Al Jarif West (Khartoum, Khartoum). Casualties unknown.",0,,1701732588
UKR138730,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,,804,Europe,Ukraine,Sumy,Sumskyi,Yunakivska,Yunakivka,51.1213,35.0342,2,Suspilne Media,National,"On 1 December 2023, Russian military forces shelled the Yunakivka community (coded to Yunakivka, Sumy). Casualties unknown.",0,,1701813041
PSE41950,30-Nov-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Katibat Tulkarm - Quick Response,,3,Military Forces of Israel (2022-),,8,38,,275,Middle East,Palestine,West Bank,Tulkarm,,Tulkarm,32.3104,35.0286,1,Joe Truzman; Long War Journal,National-International,"On 30 November 2023, Katibat Tulkarm - Quick Response militants detonated an IED that was hidden underground targeting an Israeli military bulldozer in Tulkarm (Tulkarm, West Bank). No casualties occurred.",0,,1701732587
UKR138690,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,,804,Europe,Ukraine,Zaporizhia,Vasylivskyi,Vasylivska,Plavni,47.5626,35.3335,1,Suspilne Media,National,"On 1 December 2023, Russian military forces shelled Plavni, Zaporizhia. There were no casualties.",0,,1701813041
MMR55421,1-Dec-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),,1,,,0,10,,104,Southeast Asia,Myanmar,Rakhine,Maungdaw,Buthidaung,Buthidaung,20.8754,92.5272,1,Democratic Voice of Burma,National,"On 1 December 2023, in Buthidaung town (Buthidaung township, Maungdaw district, Rakhine state), the Myanmar military stationed in Ah Lo Taw Pyae monastery at the town entrance fired heavy weapons and small arms around 12 pm for 30 minutes and hit the Myo Thit Basic Education Middle School at the town entrance. There were no casualties.",0,,1701813035
